country,domesticWaterUse,relativeConcentrationInWasteWater,dilutionFactor_low,dilutionFactor_med,dilutionFactor_high,pecRiver_notnomalised_low,pecRiver_notnomalised_med,pecRiver_notnomalised_high,pecRiver_low,pecRiver_med,pecRiver_high
AFG,21.182751540041068,0.047208220240403255,295.1209226666387,295.1209226666387,295.1209226666387,0.00015996229550193055,0.00015996229550193055,0.00015996229550193055,0.1254906935847405,0.1254906935847405,0.1254906935847405
ARG,542.0944558521561,0.0018446969696969695,43.65158322401658,186.20871366628674,1258.9254117941675,4.2259566170375214e-05,9.906609273951252e-06,1.4652948875406249e-06,0.033152701720554005,0.0077717518679029035,0.0011495263378577115
AUS,490.3490759753593,0.002039363484087102,100.0,457.0881896148752,4365.158322401661,2.0393634840871024e-05,4.461641167769815e-06,4.6719118379309256e-07,0.015998841307350124,0.003500165103987947,0.0003665122803277325
AZE,165.25667351129363,0.0060511928429423465,11.066237839776663,11.066237839776663,11.066237839776663,0.0005468157227917008,0.0005468157227917008,0.0005468157227917008,0.4289778669457988,0.4289778669457988,0.4289778669457988
BRA,233.7303216974675,0.004278435047440553,301.9951720402016,1862.0871366628676,11481.536214968817,1.4167229954494132e-05,2.2976556591804475e-06,3.7263611483127413e-07,0.011114216056886502,0.0018025147825287279,0.00029233366749438294
BWA,127.0636550308008,0.007870071105365225,51.28613839913648,301.9951720402016,741.3102413009177,0.00015345415644508215,2.606025471267322e-05,1.0616433804494752e-05,0.1203850473971363,0.020444314259349294,0.008328610422488296
CAN,786.0369609856264,0.0012722048066875651,1862.0871366628676,33113.112148259075,501187.2336272725,6.832144326862932e-07,3.841997094659831e-08,2.538382307705966e-09,0.0005359828874415795,3.0140532720324785e-05,1.991365248777712e-06
CH1,138.34360027378509,0.0072283791806847415,38.018939632056124,158.48931924611142,1023.2929922807537,0.00019012574392238038,4.560798932740757e-05,7.0638411825472e-06,0.14915397030449792,0.035779545396888504,0.005541595452783454
CH0,138.34360027378509,0.0072283791806847415,38.018939632056124,158.48931924611142,1023.2929922807537,0.00019012574392238038,4.560798932740757e-05,7.0638411825472e-06,0.14915397030449792,0.035779545396888504,0.005541595452783454
CMR,36.22176591375771,0.027607709750566888,3311.311214825911,3311.311214825911,3311.311214825911,8.337395055758399e-06,8.337395055758399e-06,8.337395055758399e-06,0.006540700637948024,0.006540700637948024,0.006540700637948024
