country,dailyPerCapitaCopiesInExcrement,dailyPerCapitaCopiesInExcrementUncertaintyRatio,domesticWaterUse,copiesInWasteWater_of_infected_individual,prevalence,prevalenceUncertaintyRatio,copiesInWasteWater,dilutionFactor_low,dilutionFactor_med,dilutionFactor_high,viral_copies_vlowIU_lowDF,viral_copies_vlowIU_medDF,viral_copies_vlowIU_highDF,viral_copies_lowIU_lowDF,viral_copies_lowIU_medDF,viral_copies_lowIU_highDF,viral_copies_medIU_lowDF,viral_copies_medIU_medDF,viral_copies_medIU_highDF,viral_copies_highIU_lowDF,viral_copies_highIU_medDF,viral_copies_highIU_highDF,viral_copies_uncertainty_ratio,laketemp_low,laketemp_med,laketemp_high,seatemp_low,seatemp_med,seatemp_high,active_cases,country_population
AFG,237792395676.33408,0.6375838926174497,21.182751540041068,11225755786.581495,0.00010985507246376811,0.2002498439450079,1233206.2153954743,295.1209226666387,295.1209226666387,295.1209226666387,0.417864719401299,0.417864719401299,0.417864719401299,4.1786471940129895,4.1786471940129895,4.1786471940129895,41.78647194012989,41.78647194012989,41.78647194012989,417.864719401299,417.864719401299,417.864719401299,0.6757316184146038,16.642971900000003,17.6966645,17.865826100000003,,,,2274,20700000.0
ARG,237792395676.33408,0.6375838926174497,342.23134839151265,694829380.1662482,7.707021791767554e-05,0.2002498439450079,53550.65174501617,43.65158322401658,186.20871366628674,1258.9254117941675,0.12267745586728969,0.028758402703423846,0.004253679466895345,1.2267745586728969,0.2875840270342384,0.042536794668953444,12.267745586728969,2.875840270342384,0.4253679466895345,122.6774558672897,28.758402703423847,4.2536794668953455,0.6757316184146038,8.40812222,11.567958599999999,19.0674981,8.14724576,11.298876,15.4416785,3183,41300000.0
AUS,237792395676.33408,0.6375838926174497,282.5462012320329,841605353.8835369,3.6735537190082645e-05,0.2002498439450079,30916.824776961337,100.0,457.0881896148752,4365.158322401661,0.030916824776961338,0.006763864278140868,0.0007082635380782992,0.3091682477696134,0.06763864278140867,0.007082635380782992,3.091682477696134,0.6763864278140868,0.07082635380782992,30.916824776961338,6.7638642781408675,0.7082635380782992,0.6757316184146038,15.518816500000002,16.094986,16.8079956,18.429573100000002,26.681972,28.8602441,889,24200000.0
BRA,237792395676.33408,0.6375838926174497,177.96030116358656,1336210346.4735544,0.0002480883066472586,0.2002498439450079,331498.16218117083,301.9951720402016,1862.0871366628676,11481.536214968817,0.10976935821246896,0.01780250535295915,0.0028872282939715584,1.0976935821246896,0.17802505352959153,0.028872282939715582,10.976935821246897,1.7802505352959155,0.2887228293971559,109.76935821246897,17.802505352959155,2.8872282939715586,0.6757316184146038,24.7875915,26.6250183,28.081787899999995,27.0641064,27.548692100000004,28.0243316,51131,206100000.0
CAN,237792395676.33408,0.6375838926174497,786.0369609856264,302520628.7731836,0.0008578888888888889,0.2002498439450079,259529.0860841945,1862.0871366628676,33113.112148259075,501187.2336272725,0.013937537131012494,0.000783765310014327,5.178286051021074e-05,0.13937537131012492,0.007837653100143269,0.0005178286051021073,1.3937537131012494,0.0783765310014327,0.005178286051021074,13.937537131012494,0.783765310014327,0.05178286051021074,0.6757316184146038,1.43977599,2.16431173,3.12300258,1.09363979,2.32001229,3.93355958,30884,36000000.0
CMR,237792395676.33408,0.6375838926174497,30.116358658453116,7895788410.980092,6.838709677419355e-05,0.2002498439450079,539970.0461702514,3311.311214825911,3311.311214825911,3311.311214825911,0.01630683469897407,0.01630683469897407,0.01630683469897407,0.16306834698974068,0.16306834698974068,0.16306834698974068,1.630683469897407,1.630683469897407,1.630683469897407,16.30683469897407,16.30683469897407,16.30683469897407,0.6757316184146038,25.746827,26.5658846,29.3371564,28.8667565,28.968429399999998,29.0033217,1060,15500000.0
ESP,237792395676.33408,0.6375838926174497,312.1149897330596,761874320.3577281,0.002234756097560976,0.2002498439450079,1702603.2829945572,26.915348039269155,26.915348039269155,26.915348039269155,6.325771008089809,6.325771008089809,6.325771008089809,63.2577100808981,63.2577100808981,63.2577100808981,632.577100808981,632.577100808981,632.577100808981,6325.77100808981,6325.77100808981,6325.77100808981,0.6757316184146038,10.8018128,11.231216400000001,11.4150222,15.1139603,15.9479456,16.2826169,73300,32799999.999999996
FRA,237792395676.33408,0.6375838926174497,235.45516769336072,1009926424.6602443,0.0014398452012383902,0.2002498439450079,1454137.7161508976,74.13102413009177,74.13102413009177,74.13102413009177,1.961577805264158,1.961577805264158,1.961577805264158,19.61577805264158,19.61577805264158,19.61577805264158,196.1577805264158,196.1577805264158,196.1577805264158,1961.577805264158,1961.577805264158,1961.577805264158,0.6757316184146038,9.78878365,10.4072925,11.5480838,10.5877321,12.594197,13.911685999999998,93014,64599999.99999999
GBR,237792395676.33408,0.6375838926174497,320.60232717316904,741705145.352528,0.0023890181268882175,0.2002498439450079,1771947.0370534495,5.7543993733715695,37.84425847170934,186.20871366628674,30.792910294914847,4.68220836822071,0.9515919003817608,307.9291029491485,46.8220836822071,9.515919003817608,3079.2910294914846,468.22083682207096,95.15919003817608,30792.91029491485,4682.20836822071,951.5919003817609,0.6757316184146038,8.7329895,9.40021216,10.291525,8.05250445,9.04505304,10.0839766,158153,66200000.0
IDN,237792395676.33408,0.6375838926174497,82.13552361396303,2895122417.359368,3.239388145315488e-05,0.2002498439450079,93784.25238031054,1000.0,4365.158322401661,15848.93192461114,0.009378425238031054,0.0021484731011706237,0.0005917386283594096,0.09378425238031055,0.021484731011706237,0.005917386283594096,0.9378425238031054,0.21484731011706237,0.05917386283594096,9.378425238031056,2.148473101170624,0.5917386283594097,0.6757316184146038,26.2815228,28.197720299999997,29.6348455,28.8387696,29.0881967,29.3048269,8471,261500000.0
